atracao_id,dia_semana_id,horario,aberto
27,4,Atendimento 24 horas,1
27,5,Atendimento 24 horas,1
27,6,Atendimento 24 horas,1
27,0,Atendimento 24 horas,1
27,1,Atendimento 24 horas,1
28,2,09:00 a 17:00,1
28,3,09:00 a 17:00,1
28,4,09:00 a 17:00,1
28,5,09:00 a 17:00,1
28,6,09:00 a 17:00,1
28,0,Fechado,0
28,1,09:00 a 17:00,1
30,2,11:00 a 17:00,1
30,3,11:00 a 17:00,1
30,4,11:00 a 17:00,1
30,5,11:00 a 17:00,1
30,6,11:00 a 17:00,1
30,0,11:00 a 17:00,1
30,1,11:00 a 17:00,1
31,2,12:00 a 18:00,1
31,3,12:00 a 18:00,1
31,4,12:00 a 18:00,1
31,5,10:00 a 18:00,1
31,6,10:00 a 18:00,1
31,0,Fechado,0
31,1,Fechado,0
32,2,07:00 a 22:00,1
32,3,07:00 a 22:00,1
32,4,07:00 a 22:00,1
32,5,07:00 a 22:00,1
32,6,07:00 a 22:00,1
32,0,07:00 a 22:00,1
32,1,07:00 a 22:00,1
33,2,Atendimento 24 horas,1
33,3,Atendimento 24 horas,1
33,4,Atendimento 24 horas,1
33,5,Atendimento 24 horas,1
33,6,Atendimento 24 horas,1
33,0,Atendimento 24 horas,1
33,1,Atendimento 24 horas,1
34,2,13:00 a 17:00,1
34,3,13:00 a 17:00,1
34,4,13:00 a 17:00,1
34,5,13:00 a 18:00,1
34,6,13:00 a 18:00,1
34,0,Fechado,0
34,1,13:00 a 17:00,1
35,2,10:00 a 18:00,1
35,3,10:00 a 18:00,1
35,4,10:00 a 18:00,1
35,5,10:00 a 18:00,1
35,6,10:00 a 18:00,1
35,0,10:00 a 18:00,1
35,1,Fechado,0
36,2,11:00 a 20:00,1
36,3,11:00 a 20:00,1
36,4,11:00 a 20:00,1
36,5,11:00 a 20:00,1
36,6,11:00 a 19:00,1
36,0,Fechado,0
36,1,11:00 a 20:00,1
37,2,10:00 a 17:00,1
37,3,10:00 a 17:00,1
37,4,10:00 a 17:00,1
37,5,Fechado,0
37,6,Fechado,0
37,0,10:00 a 17:00,1
37,1,10:00 a 17:00,1
38,2,10:00 a 19:00,1
38,3,10:00 a 19:00,1
38,4,10:00 a 19:00,1
38,5,10:00 a 14:00,1
38,6,Fechado,0
38,0,10:00 a 19:00,1
38,1,10:00 a 19:00,1
39,2,11:00 a 17:00,1
39,3,11:00 a 17:00,1
39,4,11:00 a 17:00,1
39,5,11:00 a 17:00,1
39,6,11:00 a 17:00,1
39,0,Fechado,0
39,1,Fechado,0
40,2,11:00 a 19:00,1
40,3,11:00 a 19:00,1
40,4,11:00 a 19:00,1
40,5,11:00 a 19:00,1
40,6,11:00 a 19:00,1
40,0,Fechado,0
40,1,11:00 a 19:00,1
